Time	UTC	GPS_lat(deg)	GPS_long(deg)	FINKEN_ACTUATORS_MODEL:thrust	ROTORCRAFT_STATUS:vsupply
123.974	09:12:35.384	43.462229950	1.272889989	0.401767	122
124.224	09:12:35.634	43.462229950	1.272889989	0.401767	122
124.474	09:12:35.884	43.462229950	1.272889989	0.401767	122
124.724	09:12:36.134	43.462229950	1.272889989	0.401767	122
124.974	09:12:36.384	43.462229950	1.272889989	0.401767	122
125.224	09:12:36.634	43.462229950	1.272889989	0.401767	122
125.474	09:12:36.884	43.462229950	1.272889989	0.401767	122
125.724	09:12:37.134	43.462229950	1.272889989	0.401767	122
125.974	09:12:37.384	43.462229950	1.272889989	0.401767	122
126.224	09:12:37.634	43.462229950	1.272889989	0.401767	122
126.474	09:12:37.884	43.462229950	1.272889989	0.401767	122
126.724	09:12:38.134	43.462229950	1.272889989	0.401767	122
126.974	09:12:38.384	43.462229950	1.272889989	0.401767	122
127.224	09:12:38.634	43.462229950	1.272889989	0.401767	122
127.474	09:12:38.884	43.462229950	1.272889989	0.401767	122
127.724	09:12:39.134	43.462229950	1.272889989	0.401767	122
127.974	09:12:39.384	43.462229950	1.272889989	0.401767	122
128.224	09:12:39.634	43.462229950	1.272889989	0.25	122
128.474	09:12:39.884	43.462229950	1.272889989	0.25	122
128.724	09:12:40.134	43.462229950	1.272889989	0.25	122
128.974	09:12:40.384	43.462229950	1.272889989	0.25	122
129.224	09:12:40.634	43.462229950	1.272889989	0.25	122
129.474	09:12:40.884	43.462229950	1.272889989	0.25	122
129.724	09:12:41.134	43.462229950	1.272889989	0.25	122
129.974	09:12:41.384	43.462229950	1.272889989	0.25	122
130.224	09:12:41.634	43.462229950	1.272889989	0.25	122
130.474	09:12:41.884	43.462229950	1.272889989	0.25	122
130.724	09:12:42.134	43.462229950	1.272889989	0.25	122
130.974	09:12:42.384	43.462229950	1.272889989	0.25	122
131.224	09:12:42.634	43.462229950	1.272889989	0.25	122
131.474	09:12:42.884	43.462229950	1.272889989	0.25	122
131.724	09:12:43.134	43.462229950	1.272889989	0.25	122
131.974	09:12:43.384	43.462229950	1.272889989	0.25	122
